,AWRAL,SMOS_LMEB_A,AMSR2_LPRM_D,ASCAT_TUW_D,SMOS_LPRM_A,WaterDyn,MSDI,API,KBDI,AMSR2_JAXA_A,CABLE
Alice Springs Mulga,0.03759627346431246,0.005229955102635581,0.03286203012334263,0.09190956409177865,0.01545977733516083,0.07948258298388797,0.16375078135097734,0.06457287965442654,0.11654010495721527,0.015701606571387913,0.11023849457663544
Dry River,0.041183328698834475,0.007637319713429729,0.06083868042759732,0.11586562628427727,0.05384240887190136,0.18421405178907488,0.21875899505120128,0.024019079448366266,0.21128626884107818,0.0019466207062375763,0.11760189874083561
Red Dirt Melon Farm,0.297105357950377,0.1909240048905005,0.4687768281665129,0.5663363500125836,0.31828029502731875,0.417767137662442,0.5712704667185671,0.38787419733773343,0.5752101870826662,0.3452313681311919,0.5215056262062194
Sturt Plains,0.13080207530182228,0.21219851677579968,0.3686883413532543,0.4106604042875639,0.23216164032803052,0.18068449453971866,0.42360735674646666,0.1041941402848348,0.44687997909186855,0.3589999952327148,0.2820547703411177
Arcturus Emerald,0.0054402025958971735,0.00772529541925038,0.049435224023202246,0.021943882439691236,0.007311521557285173,0.0011368023760569476,0.0048724526630513085,0.09865949502173657,0.0424660628300759,0.03826198818460013,0.007608991317944598
Riggs Creek,0.19587754412137234,0.31782575036355265,0.6894194807086885,0.43965061594265986,0.36232497937867675,0.33865548538583656,0.580113535403384,0.21275119914077417,0.5584751327078632,0.1814064991353042,0.42041232718017113
Whroo,0.16251273991375817,0.383738903896683,0.6591345591178692,0.43810916223468904,0.44625641949033856,0.35869527155103637,0.36631308354743736,0.30128585804258395,0.28391532867854213,0.10633724422951801,0.3419215327093428
Y2,0.10164548962165805,0.07550728066105708,0.30206863461252775,0.2239801215461365,0.028107324944410768,0.09386355668922197,0.3339892269500728,0.02745862868355571,0.27650940480798036,0.12509597073590553,0.13728663475543856
Y9,0.05579940388696919,0.1196895411145698,0.2630743059739886,0.21982876689597702,0.08042845324060974,0.04038151906647351,0.3616573003436391,0.031281251009126376,0.32531459011875646,0.017681917072468297,0.08067447328396814
Baldry,0.05130616408335385,0.1988462555412865,0.48234474327612753,0.2778591574710753,0.11883971433457546,0.09148131573078298,0.4296227757821815,0.046913690080440766,0.48998083569519213,0.0012909845430542272,0.1990941640316414
Yanco,0.10266158072012503,0.14563644839075138,0.33422547246971746,0.12639301467514136,0.15881617233540807,0.10698947719716581,0.34372675115700685,0.09024528232496819,0.16832280966564575,0.026911798964086353,0.15692003559198167
Robson,0.08726596884096505,0.02385891345008674,0.03730399647430653,0.04276944285304658,0.04620794066849361,0.020447559669828416,0.01000377112701019,0.023913245247430437,0.0166962698208377,0.012969423309082422,0.040864837855981787
Weany,0.18545408776667183,0.18489958378616478,0.015723016283083414,0.35655257503694193,0.4376112638115463,0.22853926046448964,0.4431028140256933,0.18123345282823478,0.40576123141013015,0.06287867215835097,0.31300102018893555
