,AWRAL,SMOS_LMEB_A,AMSR2_LPRM_D,ASCAT_TUW_D,SMOS_LPRM_A,WaterDyn,MSDI,API,KBDI,AMSR2_JAXA_A,CABLE
Alice Springs Mulga,0.021479176755553782,0.005229955102635619,0.030746625733979193,0.09190956409177863,0.015101626735866054,0.07787255059939097,0.16158112993328783,0.046114820495182424,0.11654010495721524,0.0131912798564544,0.10836904178300186
Dry River,0.03719173539072745,0.005939479806979756,0.060495300667886484,0.07796218215434758,0.014875401451222908,0.140675729214969,0.2000421347280923,0.006192110452072202,0.19372151244069524,0.00028031958256324586,0.07158939685105105
Red Dirt Melon Farm,0.23683830944431924,0.1804767693256376,0.4680622901564856,0.5661982361779992,0.3022685501422392,0.4177671376624421,0.5647230669377967,0.3119748002109514,0.5523112867934593,0.3003286968300585,0.5198985100628153
Sturt Plains,0.13054600249556558,0.20464759051373307,0.3418968511762422,0.40043031406429064,0.21066000198782042,0.16096905219266394,0.4219324492533855,0.09024686494036702,0.4337757144726243,0.3514272581070504,0.27197506950950534
Arcturus Emerald,0.0008881785987447915,0.0017946139089464524,0.040111309750552,0.006219334033161202,0.00731152155728518,0.0005792972085615334,8.734903927944266e-05,0.014075758269027464,0.037387311826094796,0.0020937097248183907,0.0035258699033054413
Riggs Creek,0.09904101414373567,0.3106580140995522,0.689419480708688,0.43743075505352025,0.36162564409292175,0.3386554853858367,0.5520354270776572,0.15166251139205175,0.5006707278473783,0.07694754624576199,0.41928865500737317
Whroo,0.06886280025116807,0.3667095608367711,0.6250860663438558,0.4374579790411189,0.4462564194903387,0.3321170863662875,0.313047644621748,0.2226111287794352,0.26407405342506785,0.05369475021215866,0.3192336204267332
Y2,0.06571508342580672,0.05808559916188614,0.3020686346125279,0.2085956812966414,0.02518174771103367,0.07548052843526237,0.33366826810024447,0.008969474862131026,0.2741422128200843,0.06508368936544412,0.12385536290167234
Y9,0.05579940388696917,0.11968954111456975,0.2630743059739884,0.2143790063038538,0.07337666642702745,0.04038151906647355,0.3261067250816515,0.007854352829182489,0.31373702396087705,0.004629462948843049,0.08067447328396816
Baldry,0.02089369251408771,0.1954330472415032,0.48234474327612736,0.2661917823889997,0.11218188862304079,0.0841286125668697,0.3951464062992479,0.020548357384614684,0.4418978559709645,9.937541427779251e-05,0.16375086566795075
Yanco,0.06875849141038132,0.14441113318408857,0.30711130204370585,0.12570975710149582,0.15867447834579515,0.09632145674682492,0.33152899275428666,0.04312038826394114,0.14628257335125844,0.008490791298253992,0.15188556607824902
Robson,0.08026809542892419,0.02362829845610798,0.028016906591806105,0.03669211063076574,0.04421778975125716,0.0077882321217597255,0.0013147692350481733,0.023895780227123877,0.0012730421354754837,0.012195905596657886,0.029181026904774705
Weany,0.11626025619601804,0.18006431410000742,0.007661972124927208,0.3559546132846479,0.37562239674788517,0.19604630294992803,0.44198678966429417,0.1626430992209203,0.3395516670444308,0.04592871772459925,0.312460346215129
