,AWRAL,SMOS_LMEB_A,AMSR2_LPRM_D,ASCAT_TUW_D,SMOS_LPRM_A,WaterDyn,MSDI,API,KBDI,AMSR2_JAXA_A,CABLE
Alice Springs Mulga,0.11106692408732124,0.1006911682108565,0.09999303467848078,0.40256978515584596,8.498386093873793e-30,0.1400117415047545,0.220021972239183,0.08981104625317497,0.1654148586084115,9.025882862124417e-31,0.18885295730449084
Dry River,0.16855480425854535,0.20983874273006356,0.09991359361608528,0.3060236933600218,0.16031188018203787,0.29200879376336414,0.3086010940210396,0.022085874861767787,0.3095593935871974,0.056988333252775775,0.23389729623940017
Red Dirt Melon Farm,0.5079818463885976,0.5800046453490737,0.6498549905194413,0.7673216223937126,0.6319665539401309,0.6035480518987537,0.6893353688869224,0.5445598978400319,0.7047587340277681,0.5168629765737742,0.6753772514224576
Sturt Plains,0.20723405760121782,0.357379602691817,0.7262441033525383,0.6274718762407749,0.327088317441169,0.2292337618824776,0.48779538755885404,0.25015464086946176,0.5187485104943185,0.6574203680877959,0.378794322883169
Arcturus Emerald,0.014306185519233978,0.04432297523080668,0.14051363224717467,0.025137707728443533,0.05224397039393504,0.002812846807001258,0.005547823714308536,0.17355258115929695,0.0447723939704347,0.10904603235353692,0.016513534976618897
Riggs Creek,0.32294362112327574,0.46508789028835335,0.901714879563396,0.5798754988485684,0.5139239431610383,0.4257911259025216,0.6092750186337664,0.3004574667557239,0.6031618342447483,0.2564402293424456,0.714287342727616
Whroo,0.2598999666396681,0.5983546225723609,0.853289015888356,0.6204783612453731,0.6429328484239407,0.5621851681863097,0.38459236932182234,0.41000215455134037,0.3010691051220104,0.3089461995223451,0.6611313829212374
Y2,0.15444361656212577,0.16076343984942687,0.3594077776516559,0.32196118409368446,0.03377319584541573,0.1356122181208884,0.3724669187828322,0.02861038038382864,0.29291349568773273,0.1940574766098777,0.29399985826248987
Y9,0.12911949979584755,0.261904619721466,0.38028182739734284,0.39378833191133883,0.1686582472324409,0.07153606808126069,0.40911200279210735,0.02932201397075396,0.34360263895585974,0.010533485598428564,0.27019991850063896
Baldry,0.096598211049939,0.3551801090047174,0.5973550182644072,0.4131978654405787,0.26346426263542616,0.12417930862833393,0.47864488460701277,0.07454970750961325,0.5322465414135228,0.0055325079811375695,0.3687470203902079
Yanco,0.20813716194466297,0.24462499835282767,0.5397724322576593,0.20741308654714508,0.25801881843413965,0.18065880788118238,0.3900910357971286,0.12814206347448487,0.17844907966694287,0.01943266686146282,0.46974680118601625
Robson,0.19041490578664724,0.052761270589477355,0.10425815713213334,0.10541195750834181,0.19084177503501423,0.04612783373685374,0.0175076742181744,0.09844940343098935,0.0039872078198691365,0.07212548287411395,0.032709802930453426
Weany,0.3723398729852503,0.45177774588114755,0.07226298318083499,0.588296296337964,0.6959617005042225,0.42774610258936835,0.5738607920370651,0.42858282393891806,0.5413746608448615,0.21138315218142048,0.5480724017981884
