,AWRAL,SMOS_LMEB_A,AMSR2_LPRM_D,ASCAT_TUW_D,SMOS_LPRM_A,WaterDyn,MSDI,API,KBDI,AMSR2_JAXA_A,CABLE
Alice Springs Mulga,0.08485093876827356,0.05743693889098963,0.08186957444591637,0.3606063782610412,0.14321466963676133,0.13198039833678585,0.21882489944076072,0.08117950090822405,0.1549516590466588,9.5348270500586e-08,0.18810643790661818
Dry River,0.10180624150442533,0.11757477534415743,0.05499588044247036,0.25531329546796727,0.04189460753603074,0.22376921548648154,0.27498766389835094,0.0004585944690508334,0.2642221206105297,0.000868971074220919,0.13177699094925502
Red Dirt Melon Farm,0.5079553414293974,0.579977826242298,0.6005302037647868,0.7597308294906726,0.6245077742006183,0.5976947982986714,0.6843688378803646,0.5182511250959274,0.6783581948640078,0.4615758189424303,0.6683414206105643
Sturt Plains,0.1740571887543392,0.31965032051153636,0.4747430816573722,0.6259086014965773,0.27385737786174513,0.18823101976430492,0.4804462218956996,0.10151501940661513,0.4944146358450058,0.4968475020546628,0.3411639016575528
Arcturus Emerald,0.010395314727224702,0.002671578343009491,0.11519844274244767,0.000995870424495079,0.011055462425792643,0.002812846807001266,1.9004097528685577e-05,0.09204900781504376,0.04032175954221989,0.08206472471623441,0.011588947367562795
Riggs Creek,0.3221726624503325,0.46508789028835335,0.8987350483242951,0.5778084098288682,0.510636469233686,0.4257911259025216,0.5770862601519945,0.30045746675572416,0.5309635723927629,0.16940256312164825,0.658492404185285
Whroo,0.2592105285540359,0.5977947803558777,0.754167979642515,0.601697846646958,0.6416536434681751,0.5343484772656817,0.324891243457184,0.40568782248047214,0.27753386302688565,0.238277529044522,0.6001409471556566
Y2,0.15438831964179447,0.15231633663451571,0.3590964953527407,0.321944439491969,0.033143060693237185,0.13550895591564116,0.37244648778266,0.028399539431767578,0.29029910075436055,0.13831478616543613,0.2531703986284974
Y9,0.12366290408746602,0.25858290565936315,0.378375946831637,0.3834919163705098,0.1678644097309739,0.0710880702998353,0.3576665178649603,0.029322013970753933,0.33064997128541085,0.002487708327239056,0.16848695555178053
Baldry,0.0953418515892072,0.3551801090047172,0.5961394203028441,0.4126305719907159,0.2621115139034436,0.12285964008547239,0.4410369041499209,0.06261655339357197,0.47286975249408353,0.00018013473933666744,0.367285153910984
Yanco,0.20731333957252426,0.2421948616907991,0.37972484841811766,0.19776049966036563,0.257150434821462,0.18020060691332285,0.372205038746992,0.11097860260402993,0.15643403692462773,0.006196790349848936,0.318685161208933
Robson,0.1893408138954506,0.05276127058947732,0.10253033488211233,0.1038904017287391,0.12845370430947087,0.020476668268668455,0.00646863369785612,0.0948707960260132,0.00012382820791436778,0.055628357118191266,0.021350042367187246
Weany,0.37201115018406694,0.4516887904468099,0.041986681234512345,0.5804244002558234,0.5786445751703233,0.425411260187733,0.5672527345787864,0.3375641481654576,0.4197226485919739,0.14559917841040998,0.5330745959771923
